case_id,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,IL25,PSMC1,NRP1,IL31,S1PR1,LCP2,CYLD,KIR3DL1,JAK2,NR3C1,S100Z,ANOS1,PLXNC1,IL5RA,APOBEC3C,TLR1,GPHA2,STAT3
TCGA-F4-6807,0.072892043,0,0.0598314,0.103092369,0,0.213883879,0.016817682,0.040183869,0.016432969,0,0.013828553,0,0,0.123640024,0.147344559,0.136618203,0.029816577,0,0.025617875,0,0,0,0.827980981,3.861552693,4.56950535,0.827980981,5.282839886,4.426287105,3.841759437,0.852344346,4.018308221,3.869731761,0.996433554,3.912987453,3.437045629,0.930082269,5.763966792,2.54811495,0.901485171,7.227073442
TCGA-F4-6808,0.044116619,0,0.056492672,0.112673461,0,0.259765633,0.177190502,0,0,0,0.007061117,0.032554148,0.01036706,0.15287913,0.044249466,0.041615433,0,0.026532447,0,0,0.030862577,0.003639735,0.536747297,3.201148215,2.182057913,0.536747297,2.618620677,2.161103712,2.593517393,0.536747297,2.359405665,1.504399772,0.577136467,1.096963139,1.121116439,0.536747297,4.903236819,0.687432444,0.700013479,6.037843084
TCGA-F4-6854,0.05255812,0,0.047406442,0.111157962,0,0.153771679,0.087622145,0.00506733,0.041568455,0,0,0.015739083,0,0.288293133,0.075351873,0.087203779,0,0,0,0.034259999,0,0,0.845272446,3.312593146,3.838205436,0.845272446,4.065432116,3.353611339,3.825659746,0.879628705,3.328766313,2.833798632,0.91919951,2.501157286,2.387268731,0.882224094,5.846415329,1.699670156,0.845272446,6.419698554
TCGA-F5-6571,0.040891324,0,0.041223381,0.045472099,0,0.203347171,0.053143063,0,0.042263154,0,0.0034821,0,0,0.31654878,0.042861171,0.121166436,0.040378359,0.001594113,0.04762885,0,0,0,0.622789648,3.067141853,4.019676331,0.622789648,4.026314251,4.022846873,3.731121733,0.640654052,3.746933464,3.294135111,0.948990328,3.089566054,3.365012786,0.783754175,5.083697307,2.498732447,0.622789648,6.294680245
TCGA-G4-6293,0.012849261,0,0.232066941,0.056431783,0,0.223854345,0.192602576,0,0.000184158,0,0.014327361,0.010226475,0.001435159,0.148283177,0.027767978,0.018242824,0.005047351,0.002799315,0.053881296,0,0,0,0.684373302,3.363596649,3.228871547,0.684373302,3.696793944,3.697269449,3.571940683,0.684373302,3.66008712,2.967208644,0.789258672,1.765477415,2.441209583,0.726691917,5.698765197,1.801865422,0.829832742,6.999202854
TCGA-G4-6304,0.006392132,0,0,0.179115725,0,0,0.159700063,0,0,0,0.024966451,0.027817249,0.013572584,0.168463703,0.182290287,0.167929723,0.029131786,0,0.035945309,0,0.004674989,0,0.722660916,3.496839043,2.289193688,0.722660916,2.084203703,2.732998928,3.000452894,0.722660916,3.020097702,1.206731178,0.722660916,1.104466776,1.500438386,0.722660916,5.140765838,1.337557674,0.722660916,5.733685956
TCGA-G4-6321,0.116023183,0,0.107894355,0.227661312,0,0.188232325,0.00914945,0.030698011,0.041120841,0,0.034490731,0.031503082,0,0.05811102,0.019352134,0.055994873,0.013246668,0.017409888,0.049112125,0,0,0,0.572135997,2.800583463,2.396151864,0.572135997,3.336138127,2.649415233,3.113247856,0.597928875,3.812466814,1.789188366,0.716114029,0.691504871,1.385292885,0.637854845,4.465771187,1.239206812,0.572135997,6.304009459
TCGA-NH-A6GB,0.032842036,0,0.157982283,0.038558775,0,0.191777332,0.101895159,0.058221576,0.042592496,0,0.034754655,0.013110968,0,0.177141257,0.038473485,0.053047058,0,0,0.023672952,0,0,0.035929967,0.596442143,2.876346628,2.789058006,0.596442143,2.71584082,2.816829062,2.938845557,0.596442143,3.196124136,2.544859839,0.678792503,0.945347814,1.940263924,0.608932895,3.885922234,1.358599579,0.683194257,6.688388611
TCGA-NH-A8F7,0.049551511,0,0.089942469,0.035041512,0,0.043346071,0.085829341,0,0.011309621,0,0.078101169,0,0,0.234140326,0.029240467,0.127172157,0,0,0,0.168528879,0,0.047796476,0.65891161,3.14682237,2.381386378,0.65891161,2.375589137,1.789151929,2.97575825,0.65891161,3.395286588,2.908694905,0.691159071,1.006565248,1.440676522,0.65891161,3.440812206,1.163575524,0.65891161,6.423931243
TCGA-WS-AB45,0.040437325,0,0.010248967,0.003803605,0,0.154883035,0.038433149,0,0,0,0.027972703,0,0,0.272700955,0.037259408,0.175665974,0,0,0,0.051413833,0.012038811,0.175142234,1.04015719,3.687036408,6.793487879,1.04015719,6.995178858,5.632416871,4.470434433,1.075315647,4.811100168,5.065886071,1.233640858,5.427056406,5.321418783,1.659758197,5.737356085,4.676206822,1.04015719,7.095001327
